วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-09,เพชรบุรี,2
2024-01-09,อุดรธานี,2
2024-01-09,ลพบุรี,1
2024-01-09,สมุทรสงคราม,0
2024-01-09,ระนอง,0
2024-01-09,ยะลา,0
2024-01-09,นราธิวาส,0
2024-01-09,ชัยภูมิ,0
2024-01-09,แม่ฮ่องสอน,0
2024-01-09,อำนาจเจริญ,0
2024-01-09,แพร่,1
2024-01-09,เพชรบูรณ์,2
2024-01-09,เชียงใหม่,1
2024-01-09,เชียงราย,0
2024-01-09,อ่างทอง,0
2024-01-09,อุบลราชธานี,0
2024-01-09,อุทัยธานี,0
2024-01-09,อุตรดิตถ์,1
2024-01-09,เลย,1
2024-01-09,พังงา,0
2024-01-09,ร้อยเอ็ด,0
2024-01-09,ระยอง,0
2024-01-09,นครปฐม,0
2024-01-09,นครนายก,0
2024-01-09,ตาก,1
2024-01-09,ตราด,0
2024-01-09,ตรัง,0
2024-01-09,ชุมพร,1
2024-01-09,ชลบุรี,2
2024-01-09,นครพนม,1
2024-01-09,ฉะเชิงเทรา,1
2024-01-09,ขอนแก่น,2
2024-01-09,กำแพงเพชร,0
2024-01-09,กาฬสินธุ์,2
2024-01-09,กาญจนบุรี,2
2024-01-09,กรุงเทพมหานคร,5
2024-01-09,กระบี่,0
2024-01-09,ราชบุรี,0
2024-01-09,จันทบุรี,0
2024-01-09,นครราชสีมา,0
2024-01-09,ชัยนาท,2
2024-01-09,นครสวรรค์,2
2024-01-09,นครศรีธรรมราช,2
2024-01-09,มุกดาหาร,0
2024-01-09,มหาสารคาม,2
2024-01-09,ภูเก็ต,0
2024-01-09,พิษณุโลก,0
2024-01-09,พิจิตร,0
2024-01-09,พัทลุง,1
2024-01-09,พะเยา,1
2024-01-09,ยโสธร,0
2024-01-09,ปราจีนบุรี,0
2024-01-09,ประจวบคีรีขันธ์,1
2024-01-09,ปทุมธานี,4
2024-01-09,บุรีรัมย์,0
2024-01-09,บึงกาฬ,0
2024-01-09,น่าน,0
2024-01-09,นนทบุรี,1
2024-01-09,ปัตตานี,0
2024-01-10,หนองคาย,0
2024-01-10,สุโขทัย,1
2024-01-10,สุรินทร์,1
2024-01-10,สุราษฎร์ธานี,1
2024-01-10,สุพรรณบุรี,4
2024-01-10,สิงห์บุรี,1
2024-01-10,สระแก้ว,0
2024-01-10,สระบุรี,1
2024-01-10,สงขลา,0
2024-01-10,สมุทรปราการ,0
2024-01-10,สตูล,0
2024-01-10,สกลนคร,1
2024-01-10,ศรีสะเกษ,1
2024-01-10,ลำพูน,0
2024-01-10,ลำปาง,1
2024-01-10,หนองบัวลำภู,0
2024-01-10,สมุทรสาคร,3
2024-01-10,อำนาจเจริญ,0
2024-01-10,ลพบุรี,4
2024-01-10,อุตรดิตถ์,0
2024-01-10,พังงา,0
2024-01-10,สมุทรสงคราม,0
2024-01-10,ระนอง,0
2024-01-10,ยะลา,0
2024-01-10,นราธิวาส,0
2024-01-10,ชัยภูมิ,1
2024-01-10,แม่ฮ่องสอน,0
2024-01-10,อุดรธานี,0
2024-01-10,แพร่,1
2024-01-10,เพชรบูรณ์,1
2024-01-10,เพชรบุรี,0
2024-01-10,เชียงใหม่,2
2024-01-10,เชียงราย,1
2024-01-10,อ่างทอง,1
2024-01-10,อุบลราชธานี,0
2024-01-10,อุทัยธานี,0
2024-01-10,เลย,3
2024-01-10,ร้อยเอ็ด,0
2024-01-10,อยุธยา,0
2024-01-10,ระยอง,1
2024-01-10,นครปฐม,0
2024-01-10,นครนายก,0
2024-01-10,ตาก,1
2024-01-10,ตราด,0
2024-01-10,ตรัง,0
2024-01-10,ชุมพร,1
